area,year,month,labor_force,unemployment_rate
Queens County,1,7,1141600,15.0
Queens County,1,8,1131900,14.2
Queens County,1,9,1141000,13.0
Queens County,1,10,1133800,12.2
Queens County,1,11,1126700,11.5
Queens County,2,0,1131000,12.5
Queens County,2,1,1140500,12.1
Queens County,2,2,1144400,11.1
Queens County,2,3,1142600,10.8
Queens County,2,4,1130300,10.1
Queens County,2,5,1145000,10.6
Queens County,2,6,1151200,10.1
Queens County,2,7,1148200,9.6
Queens County,2,8,1137200,8.3
Queens County,2,9,1143600,7.8
Queens County,2,10,1139200,7.3
Queens County,2,11,1138100,7.1
Queens County,3,0,1146100,7.4
Queens County,3,1,1149500,6.8
Queens County,3,2,1147400,5.9
Queens County,3,3,1133900,5.3
Queens County,3,4,1135300,5.0
Queens County,3,5,1136600,5.0
Queens County,3,6,1144300,4.9
Queens County,3,7,1142800,4.6
Queens County,3,8,1132900,4.1
Queens County,3,9,1140700,4.5
Queens County,3,10,1139100,4.5
Queens County,3,11,1144100,4.5
Queens County,4,0,1147100,4.9
Queens County,4,1,1159500,5.0
Queens County,4,2,1161700,4.6
Queens County,4,3,1149500,4.2
Queens County,4,4,1152900,4.4
Queens County,4,5,1155400,4.7
Queens County,4,6,1157300,4.7
Queens County,4,7,1156500,4.9
Queens County,4,8,1146800,4.5
Queens County,4,9,1154400,4.7
Queens County,4,10,1154100,4.3
Queens County,4,11,1147200,4.4
