area,year,month,unemployment_rate
1,4,0,5.7
1,4,1,5.8
1,4,2,5.4
1,4,3,5.0
1,4,4,5.2
1,4,5,5.6
1,4,6,5.7
1,4,7,5.9
1,4,8,5.5
1,4,9,5.8
1,4,10,5.3
1,4,11,5.4
1,4,12,5.5
1,3,0,8.0
1,3,1,7.3
1,3,2,6.5
1,3,3,5.9
1,3,4,5.6
1,3,5,5.6
1,3,6,5.7
1,3,7,5.4
1,3,8,4.7
1,3,9,5.2
1,3,10,5.3
1,3,11,5.2
1,3,12,5.9
1,2,0,13.1
1,2,1,12.7
1,2,2,11.7
1,2,3,11.2
1,2,4,10.5
1,2,5,11.0
1,2,6,10.7
1,2,7,10.3
1,2,8,8.9
1,2,9,8.4
1,2,10,7.8
1,2,11,7.6
1,2,12,10.3
1,1,0,4.2
1,1,1,4.3
1,1,2,5.4
1,1,3,12.4
1,1,4,21.7
1,1,5,17.3
1,1,6,17.7
1,1,7,15.2
1,1,8,14.5
1,1,9,13.2
1,1,10,12.6
1,1,11,12.2
1,1,12,12.6
1,0,0,4.9
1,0,1,4.5
1,0,2,4.2
1,0,3,3.7
1,0,4,4.0
1,0,5,4.0
1,0,6,4.4
1,0,7,4.3
1,0,8,3.7
1,0,9,4.0
1,0,10,3.7
1,0,11,3.4
1,0,12,4.1
